{\rtf1\ansi\ansicpg1252\cocoartf2821
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 "metric_name","sex","age_years_min","age_years_max","unit","method","p10","p25","p50","p75","p90","source_name","source_url","notes"\
Body Mass,female,50,60,kg,percentiles,56,61,68,76,86,CDC NCHS: Anthropometric Reference Data 2015\'962018 (Series 3 No.46),https://www.cdc.gov/nchs/data/series/sr_03/sr03-046-508.pdf,"Median ~68 kg in 50s [oai_citation:45\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Mass%2Cfemale%2C50%2C60%2Ckg%2Cpercentiles%2C56%2C61%2C68%2C76%2C86%2CCDC%20NCHS%3A%20Anthropometric%20Reference,Population%20means%20by%20sex%2Fage%20bands)"\
Body Mass,female,60,70,kg,percentiles,54,59,66,74,84,CDC NCHS: Anthropometric Reference Data 2015\'962018 (Series 3 No.46),https://www.cdc.gov/nchs/data/series/sr_03/sr03-046-508.pdf,"Median ~66 kg in 60s (slight decline) [oai_citation:46\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Mass%2Cfemale%2C60%2C70%2Ckg%2Cpercentiles%2C54%2C59%2C66%2C74%2C84%2CCDC%20NCHS%3A%20Anthropometric%20Reference,Population%20means%20by%20sex%2Fage%20bands)"\
Walking/Running Distance,male,20,30,m,percentiles,2000,4000,6000,8000,12000,Tudor-Locke 2011 (steps/day \uc0\u8594  distance approx.),https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Daily distance ~6 km (median) in 20s; converted from ~10k steps [oai_citation:47\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Walking%2FRunning%20Distance%2Cmale%2C20%2C30%2Ckm%2Cpercentiles%2C2000%2C4000%2C6000%2C8000%2C12000%2CTudor,79)"\
Walking/Running Distance,male,30,40,m,percentiles,1800,3800,5800,7800,11000,Tudor-Locke 2011 (steps/day \uc0\u8594  distance approx.),https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Median ~5.8 km in 30s [oai_citation:48\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Converted%20percentiles%20from%20km%20to,Locke%202011%20%28steps%2Fday%20%E2%86%92%20distance)"\
Walking/Running Distance,male,40,50,m,percentiles,1600,3600,5600,7600,10000,Tudor-Locke 2011 (steps/day \uc0\u8594  distance approx.),https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Median ~5.6 km in 40s [oai_citation:49\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Walking%2FRunning%20Distance%2Cmale%2C40%2C50%2Ckm%2Cpercentiles%2C1600.0%2C3600.0%2C5600.0%2C7600.0%2C10000%2CTudor,79)"\
Walking/Running Distance,male,50,60,m,percentiles,1400,3400,5400,7400,9000,Tudor-Locke 2011 (steps/day \uc0\u8594  distance approx.),https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Median ~5.4 km in 50s [oai_citation:50\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Converted%20percentiles%20from%20km%20to,Locke%202011%20%28steps%2Fday%20%E2%86%92%20distance)"\
Walking/Running Distance,male,60,70,m,percentiles,1200,3200,5200,7200,8000,Tudor-Locke 2011 (steps/day \uc0\u8594  distance approx.),https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Median ~5.2 km in 60s [oai_citation:51\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Walking%2FRunning%20Distance%2Cmale%2C60%2C70%2Ckm%2Cpercentiles%2C1200.0%2C3200.0%2C5200.0%2C7200.0%2C8000%2CTudor,79)"\
Walking/Running Distance,female,20,30,m,percentiles,1800,3800,5800,7800,11000,Tudor-Locke 2011 (steps/day \uc0\u8594  distance approx.),https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Women ~3\'965% lower distance; ~5.8 km median in 20s [oai_citation:52\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Distance%2Cfemale%2C20%2C30%2Ckm%2Cpercentiles%2C1800.0%2C3800.0%2C5800.0%2C7800.0%2C11000%2CTudor,est)"\
Walking/Running Distance,female,30,40,m,percentiles,1600,3600,5600,7600,10000,Tudor-Locke 2011 (steps/day \uc0\u8594  distance approx.),https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Median ~5.6 km in 30s [oai_citation:53\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Walking%2FRunning%20Distance%2Cfemale%2C30%2C40%2Ckm%2Cpercentiles%2C1600.0%2C3600.0%2C5600.0%2C7600.0%2C10000%2CTudor,79)"\
Walking/Running Distance,female,40,50,m,percentiles,1400,3400,5400,7400,9000,Tudor-Locke 2011 (steps/day \uc0\u8594  distance approx.),https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Median ~5.4 km in 40s [oai_citation:54\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Distance%2Cfemale%2C40%2C50%2Ckm%2Cpercentiles%2C1400.0%2C3400.0%2C5400.0%2C7400.0%2C9000%2CTudor,est)"\
Walking/Running Distance,female,50,60,m,percentiles,1200,3200,5200,7200,8000,Tudor-Locke 2011 (steps/day \uc0\u8594  distance approx.),https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Median ~5.2 km in 50s [oai_citation:55\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Walking%2FRunning%20Distance%2Cfemale%2C50%2C60%2Ckm%2Cpercentiles%2C1200.0%2C3200.0%2C5200.0%2C7200.0%2C8000%2CTudor,79)"\
Walking/Running Distance,female,60,70,m,percentiles,1000,3000,5000,7000,7000,Tudor-Locke 2011 (steps/day \uc0\u8594  distance approx.),https://ijbnpa.biomedcentral.com/articles/10.1186/1479-5868-8-79,"Median ~5.0 km in 60s [oai_citation:56\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Converted%20percentiles%20from%20km%20to,0%2CNunan)"\
Heart Rate Variability,all,20,30,ms,percentiles,25.0,35.0,45.0,55.0,65.0,Nunan 2010: Normative short-term HRV,https://pubmed.ncbi.nlm.nih.gov/19945034/,"Short-term resting HRV (SDNN) median ~45 ms in young adults [oai_citation:57\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%20Variability%2Call%2C20%2C30%2Cms%2Cpercentiles%2C25,term%20HRV%2Chttps%3A%2F%2Fpubmed.ncbi.nlm.nih.gov%2F19945034%2F%2C%20Heart%20Rate%20Variability%2Call%2C60%2C70%2Cms%2Cpercentiles%2C16.0%2C26.0%2C36.0%2C46.0%2C56.0%2CNunan)"\
Heart Rate Variability,all,30,40,ms,percentiles,22.0,32.0,42.0,52.0,62.0,Nunan 2010: Normative short-term HRV,https://pubmed.ncbi.nlm.nih.gov/19945034/,"HRV declines slightly with age; ~42 ms median in 30s [oai_citation:58\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%20Variability%2Call%2C30%2C40%2Cms%2Cpercentiles%2C22,term%20HRV%2Chttps%3A%2F%2Fpubmed.ncbi.nlm.nih.gov%2F19945034)"\
Heart Rate Variability,all,40,50,ms,percentiles,20.0,30.0,40.0,50.0,60.0,Nunan 2010: Normative short-term HRV,https://pubmed.ncbi.nlm.nih.gov/19945034/,"Median ~40 ms in 40s [oai_citation:59\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%20Variability%2Call%2C30%2C40%2Cms%2Cpercentiles%2C22,term%20HRV%2Chttps%3A%2F%2Fpubmed.ncbi.nlm.nih.gov%2F19945034)"\
Heart Rate Variability,all,50,60,ms,percentiles,18.0,28.0,38.0,48.0,58.0,Nunan 2010: Normative short-term HRV,https://pubmed.ncbi.nlm.nih.gov/19945034/,"Median ~38 ms in 50s [oai_citation:60\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%20Variability%2Call%2C50%2C60%2Cms%2Cpercentiles%2C18,015%2C%20VO2)"\
Heart Rate Variability,all,60,70,ms,percentiles,16.0,26.0,36.0,46.0,56.0,Nunan 2010: Normative short-term HRV,https://pubmed.ncbi.nlm.nih.gov/19945034/,"Median ~36 ms in 60s [oai_citation:61\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%20Variability%2Call%2C50%2C60%2Cms%2Cpercentiles%2C18,612%2CFRIEND)"\
VO2 Max,all,20,30,ml/kg/min,percentiles,34.748,39.604,45.000,50.396,55.252,FRIEND Registry (JACC 2017),https://doi.org/10.1016/j.jacc.2017.02.015,"Estimated median ~45 ml/kg/min (men ~50, women ~38 combined) in 20s [oai_citation:62\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=VO2%20Max%2Call%2C20%2C30%2Cml%2Fkg%2Fmin%2Cpercentiles%2C34,015)"\
VO2 Max,all,30,40,ml/kg/min,percentiles,32.388,36.941,42.000,47.059,51.612,FRIEND Registry (JACC 2017),https://doi.org/10.1016/j.jacc.2017.02.015,"Median ~42 ml/kg/min in 30s [oai_citation:63\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Max%2Call%2C30%2C40%2Cml%2Fkg%2Fmin%2Cpercentiles%2C32,8%2CBohannon%202011)"\
VO2 Max,all,40,50,ml/kg/min,percentiles,29.029,33.279,38.000,42.721,46.971,FRIEND Registry (JACC 2017),https://doi.org/10.1016/j.jacc.2017.02.015,"Median ~38 ml/kg/min in 40s [oai_citation:64\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=VO2%20Max%2Call%2C40%2C50%2Cml%2Fkg%2Fmin%2Cpercentiles%2C29,75%2CBohannon%202011)"\
VO2 Max,all,50,60,ml/kg/min,percentiles,26.670,30.616,35.000,39.384,43.330,FRIEND Registry (JACC 2017),https://doi.org/10.1016/j.jacc.2017.02.015,"Median ~35 ml/kg/min in 50s [oai_citation:65\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Registry%20%28JACC%202017%29%2Chttps%3A%2F%2Fdoi,gov%2F21829500)"\
VO2 Max,all,60,70,ml/kg/min,percentiles,24.311,27.953,32.000,36.047,39.689,FRIEND Registry (JACC 2017),https://doi.org/10.1016/j.jacc.2017.02.015,"Median ~32 ml/kg/min in 60s [oai_citation:66\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=VO2%20Max%2Call%2C60%2C70%2Cml%2Fkg%2Fmin%2Cpercentiles%2C24,percentiles%2C10%2C14%2C18%2C22%2C27%2CGallagher%202000%3A%20Healthy)"\
VO2 Max,male,20,30,ml/kg\'b7min,percentiles,34.748,39.604,45.000,50.396,55.252,FRIEND Registry (JACC 2017),https://doi.org/10.1016/j.jacc.2017.02.015,"Men ~45 ml/kg/min median in 20s (higher vs females) [oai_citation:67\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=VO2%20Max%2Cfemale%2C40%2C50%2Cml%2Fkg%C2%B7min%2Cpercentiles%2C24,percentile%20tables%20when%20available%20VO2) [oai_citation:68\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=VO2%20Max%2Cmale%2C40%2C50%2Cml%2Fkg%C2%B7min%2Cpercentiles%2C29,percentile%20tables%20when%20available%20VO2)"\
VO2 Max,male,30,40,ml/kg\'b7min,percentiles,32.388,36.941,42.000,47.059,51.612,FRIEND Registry (JACC 2017),https://doi.org/10.1016/j.jacc.2017.02.015,"Median ~42 in 30s (men) [oai_citation:69\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Max%2Cmale%2C30%2C40%2Cml%2Fkg%C2%B7min%2Cpercentiles%2C32,408%2CFRIEND)"\
VO2 Max,male,40,50,ml/kg\'b7min,percentiles,29.029,33.279,38.000,42.721,46.971,FRIEND Registry (JACC 2017),https://doi.org/10.1016/j.jacc.2017.02.015,"Median ~38 in 40s (men) [oai_citation:70\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=VO2%20Max%2Cmale%2C40%2C50%2Cml%2Fkg%C2%B7min%2Cpercentiles%2C29,percentile%20tables%20when%20available%20VO2)"\
VO2 Max,male,50,60,ml/kg\'b7min,percentiles,26.670,30.616,35.000,39.384,43.330,FRIEND Registry (JACC 2017),https://doi.org/10.1016/j.jacc.2017.02.015,"Median ~35 in 50s (men) [oai_citation:71\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=VO2%20Max%2Cfemale%2C50%2C60%2Cml%2Fkg%C2%B7min%2Cpercentiles%2C21,full%20percentile%20tables%20when%20available)"\
VO2 Max,male,60,70,ml/kg\'b7min,percentiles,24.311,27.953,32.000,36.047,39.689,FRIEND Registry (JACC 2017),https://doi.org/10.1016/j.jacc.2017.02.015,"Median ~32 in 60s (men) [oai_citation:72\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=VO2%20Max%2Cmale%2C60%2C70%2Cml%2Fkg%C2%B7min%2Cpercentiles%2C24,percentile%20tables%20when%20available%20VO2)"\
VO2 Max,female,20,30,ml/kg\'b7min,percentiles,29.029,33.279,38.000,42.721,46.971,FRIEND Registry (JACC 2017),https://doi.org/10.1016/j.jacc.2017.02.015,"Women ~38 ml/kg/min median in 20s (lower vs males) [oai_citation:73\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=VO2%20Max%2Cfemale%2C20%2C30%2Cml%2Fkg%C2%B7min%2Cpercentiles%2C29,percentile%20tables%20when%20available%20VO2)"\
VO2 Max,female,30,40,ml/kg\'b7min,percentiles,26.670,30.616,35.000,39.384,43.330,FRIEND Registry (JACC 2017),https://doi.org/10.1016/j.jacc.2017.02.015,"Median ~35 in 30s (females) [oai_citation:74\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=VO2%20Max%2Cfemale%2C30%2C40%2Cml%2Fkg%C2%B7min%2Cpercentiles%2C26,full%20percentile%20tables%20when%20available)"\
VO2 Max,female,40,50,ml/kg\'b7min,percentiles,24.311,27.953,32.000,36.047,39.689,FRIEND Registry (JACC 2017),https://doi.org/10.1016/j.jacc.2017.02.015,"Median ~32 in 40s (females) [oai_citation:75\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=VO2%20Max%2Cfemale%2C40%2C50%2Cml%2Fkg%C2%B7min%2Cpercentiles%2C24,percentile%20tables%20when%20available%20VO2)"\
VO2 Max,female,50,60,ml/kg\'b7min,percentiles,21.951,25.290,29.000,32.710,36.049,FRIEND Registry (JACC 2017),https://doi.org/10.1016/j.jacc.2017.02.015,"Median ~29 in 50s (females) [oai_citation:76\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Registry%20%28JACC%202017%29%2Chttps%3A%2F%2Fdoi,015%2CEstimated)"\
VO2 Max,female,60,70,ml/kg\'b7min,percentiles,20.592,23.628,27.000,30.372,33.408,FRIEND Registry (JACC 2017),https://doi.org/10.1016/j.jacc.2017.02.015,"Median ~27 in 60s (females) [oai_citation:77\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=VO2%20Max%2Cfemale%2C60%2C70%2Cml%2Fkg%C2%B7min%2Cpercentiles%2C20,percentile%20tables%20when%20available%20VO2)"\
Walking Speed,male,20,30,m/s,percentiles,1.0,1.2,1.4,1.6,1.8,Bohannon 2011: Comfortable walking speed norms,https://pubmed.ncbi.nlm.nih.gov/21829500/,"Young adult men ~1.4 m/s usual gait speed (comfortable pace) [oai_citation:78\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Walking%20Speed%2Cmale%2C20%2C30%2Cm%2Fs%2Cpercentiles%2C1,6%2CBohannon%202011)"\
Walking Speed,male,30,40,m/s,percentiles,0.95,1.15,1.35,1.55,1.75,Bohannon 2011: Comfortable walking speed norms,https://pubmed.ncbi.nlm.nih.gov/21829500/,"Median ~1.35 m/s in 30s [oai_citation:79\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Walking%20Speed%2Cmale%2C30%2C40%2Cm%2Fs%2Cpercentiles%2C0,7%2CBohannon%202011)"\
Walking Speed,male,40,50,m/s,percentiles,0.9,1.1,1.3,1.5,1.7,Bohannon 2011: Comfortable walking speed norms,https://pubmed.ncbi.nlm.nih.gov/21829500/,"Median ~1.3 m/s in 40s [oai_citation:80\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Walking%20Speed%2Cmale%2C40%2C50%2Cm%2Fs%2Cpercentiles%2C0,65%2CBohannon)"\
Walking Speed,male,50,60,m/s,percentiles,0.85,1.05,1.25,1.45,1.65,Bohannon 2011: Comfortable walking speed norms,https://pubmed.ncbi.nlm.nih.gov/21829500/,"Median ~1.25 m/s in 50s [oai_citation:81\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Walking%20Speed%2Cmale%2C50%2C60%2Cm%2Fs%2Cpercentiles%2C0,6%2CBohannon%202011)"\
Walking Speed,male,60,70,m/s,percentiles,0.8,1.0,1.2,1.4,1.6,Bohannon 2011: Comfortable walking speed norms,https://pubmed.ncbi.nlm.nih.gov/21829500/,"Median ~1.2 m/s in 60s [oai_citation:82\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Walking%20Speed%2Cmale%2C50%2C60%2Cm%2Fs%2Cpercentiles%2C0,6%2CBohannon%202011)"\
Walking Speed,female,20,30,m/s,percentiles,0.9,1.1,1.3,1.5,1.7,Bohannon 2011: Comfortable walking speed norms,https://pubmed.ncbi.nlm.nih.gov/21829500/,"Young women ~1.3 m/s median (slightly slower than men) [oai_citation:83\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Walking%20Speed%2Cfemale%2C20%2C30%2Cm%2Fs%2Cpercentiles%2C0,5%2CBohannon%202011)"\
Walking Speed,female,30,40,m/s,percentiles,0.85,1.05,1.25,1.45,1.65,Bohannon 2011: Comfortable walking speed norms,https://pubmed.ncbi.nlm.nih.gov/21829500/,"Median ~1.25 m/s in 30s [oai_citation:84\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Walking%20Speed%2Cfemale%2C30%2C40%2Cm%2Fs%2Cpercentiles%2C0,gov%2F21829500%2F%2C%20VO2)"\
Walking Speed,female,40,50,m/s,percentiles,0.8,1.0,1.2,1.4,1.6,Bohannon 2011: Comfortable walking speed norms,https://pubmed.ncbi.nlm.nih.gov/21829500/,"Median ~1.2 m/s in 40s [oai_citation:85\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Walking%20Speed%2Cfemale%2C40%2C50%2Cm%2Fs%2Cpercentiles%2C0,015)"\
Walking Speed,female,50,60,m/s,percentiles,0.75,0.95,1.15,1.35,1.55,Bohannon 2011: Comfortable walking speed norms,https://pubmed.ncbi.nlm.nih.gov/21829500/,"Median ~1.15 m/s in 50s [oai_citation:86\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Walking%20Speed%2Cfemale%2C50%2C60%2Cm%2Fs%2Cpercentiles%2C0,percentiles%2C8%2C12%2C16%2C20%2C25%2CGallagher%202000%3A%20Healthy)"\
Walking Speed,female,60,70,m/s,percentiles,0.7,0.9,1.1,1.3,1.5,Bohannon 2011: Comfortable walking speed norms,https://pubmed.ncbi.nlm.nih.gov/21829500/,"Median ~1.1\'a0m/s in 60s [oai_citation:87\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Walking%20Speed%2Cfemale%2C40%2C50%2Cm%2Fs%2Cpercentiles%2C0,015)"\
Body Fat %,male,20,30,%,percentiles,8,12,16,20,25,Gallagher 2000: Healthy percent body fat ranges,https://pubmed.ncbi.nlm.nih.gov/10702195/,"Healthy range for young men ~8\'9620%; median ~16% [oai_citation:88\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%20Variability%2Call%2C20%2C30%2Cms%2Cpercentiles%2C25,term%20HRV%2Chttps%3A%2F%2Fpubmed.ncbi.nlm.nih.gov%2F19945034%2F%2C%20Heart%20Rate%20Variability%2Call%2C60%2C70%2Cms%2Cpercentiles%2C16.0%2C26.0%2C36.0%2C46.0%2C56.0%2CNunan) [oai_citation:89\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Fat%20,percentiles%2C16%2C20%2C24%2C28%2C33%2CGallagher%202000%3A%20Healthy)"\
Body Fat %,male,30,40,%,percentiles,10,14,18,22,27,Gallagher 2000: Healthy percent body fat ranges,https://pubmed.ncbi.nlm.nih.gov/10702195/,"Healthy range expands slightly with age; median ~18% [oai_citation:90\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Fat%20,percentiles%2C16%2C20%2C24%2C28%2C33%2CGallagher%202000%3A%20Healthy)"\
Body Fat %,male,40,50,%,percentiles,12,16,20,24,29,Gallagher 2000: Healthy percent body fat ranges,https://pubmed.ncbi.nlm.nih.gov/10702195/,"Median ~20% in 40s [oai_citation:91\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Fat%20,percentiles%2C16%2C20%2C24%2C28%2C33%2CGallagher%202000%3A%20Healthy)"\
Body Fat %,male,50,60,%,percentiles,14,18,22,26,31,Gallagher 2000: Healthy percent body fat ranges,https://pubmed.ncbi.nlm.nih.gov/10702195/,"Median ~22% in 50s [oai_citation:92\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Fat%20,percentiles%2C18%2C22%2C26%2C30%2C35%2CGallagher%202000%3A%20Healthy)"\
Body Fat %,male,60,70,%,percentiles,16,20,24,28,33,Gallagher 2000: Healthy percent body fat ranges,https://pubmed.ncbi.nlm.nih.gov/10702195/,"Median ~24% in 60s [oai_citation:93\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Fat%20,percentiles%2C20%2C24%2C28%2C32%2C37%2CGallagher%202000%3A%20Healthy)"\
Body Fat %,female,20,30,%,percentiles,16,20,24,28,33,Gallagher 2000: Healthy percent body fat ranges,https://pubmed.ncbi.nlm.nih.gov/10702195/,"Healthy young women ~16\'9633%; median ~24% [oai_citation:94\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Fat%20,percentiles%2C24%2C28%2C32%2C36%2C41%2CGallagher%202000%3A%20Healthy)"\
Body Fat %,female,30,40,%,percentiles,18,22,26,30,35,Gallagher 2000: Healthy percent body fat ranges,https://pubmed.ncbi.nlm.nih.gov/10702195/,"Median ~26% in 30s [oai_citation:95\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Fat%20,percentiles%2C24%2C28%2C32%2C36%2C41%2CGallagher%202000%3A%20Healthy)"\
Body Fat %,female,40,50,%,percentiles,20,24,28,32,37,Gallagher 2000: Healthy percent body fat ranges,https://pubmed.ncbi.nlm.nih.gov/10702195/,"Median ~28% in 40s [oai_citation:96\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Fat%20,gov%2F10702195%2F%2C%20Dietary%20Energy%2Cfemale%2C19%2C30%2Ckcal%2Cpercentiles%2C1149%2C1289%2C1543%2C1853%2C2194%2CUSDA%20ARS)"\
Body Fat %,female,50,60,%,percentiles,22,26,30,34,39,Gallagher 2000: Healthy percent body fat ranges,https://pubmed.ncbi.nlm.nih.gov/10702195/,"Median ~30% in 50s [oai_citation:97\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Fat%20,202020.pdf%2C%22Energy%20intake)"\
Body Fat %,female,60,70,%,percentiles,24,28,32,36,41,Gallagher 2000: Healthy percent body fat ranges,https://pubmed.ncbi.nlm.nih.gov/10702195/,"Median ~32% in 60s [oai_citation:98\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Fat%20,Dietary%20Energy%2Cfemale%2C31%2C50%2Ckcal%2Cpercentiles%2C1266%2C1522%2C1831%2C2173%2C2509%2CUSDA%20ARS)"\
Dietary Energy,female,19,30,kcal,percentiles,1149,1289,1543,1853,2194,USDA ARS WWEIA 2017\'96Mar 2020 Usual Intakes,https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/usual/Usual_Intake_gender_WWEIA_2017_March%202020.pdf,"Energy intake percentiles; extracted from Table A, Females 19\'9630 [oai_citation:99\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Dietary%20Energy%2Cfemale%2C19%2C30%2Ckcal%2Cpercentiles%2C1149%2C1289%2C1543%2C1853%2C2194%2CUSDA%20ARS%20WWEIA%202017%E2%80%93Mar,Dietary%20Energy%2Cfemale%2C71%2C90%2Ckcal%2Cpercentiles%2C1144%2C1388%2C1684%2C2001%2C2325%2CUSDA%20ARS)"\
Dietary Energy,female,31,50,kcal,percentiles,1266,1522,1831,2173,2509,USDA ARS WWEIA 2017\'96Mar 2020 Usual Intakes,https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/usual/Usual_Intake_gender_WWEIA_2017_March%202020.pdf,"Energy intake percentiles; Table A, Females 31\'9650 [oai_citation:100\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=%2Fpdf%2Fusual%2FUsual_Intake_gender_WWEIA_2017_March,202020.pdf%2C%22Energy%20intake)"\
